Start_Time,End_Time,Max_Index,Min_Index,Magnitude,Direction
2018-10-20 21:40:00,2018-10-20 23:40:00,2018-10-20 22:40:00,2018-10-20 21:50:00,1125.0675663,Down
2018-10-20 21:50:00,2018-10-20 23:50:00,2018-10-20 22:40:00,2018-10-20 21:50:00,1125.0675663,Down
2018-10-20 22:00:00,2018-10-21 00:00:00,2018-10-20 22:40:00,2018-10-20 22:00:00,961.5227664999999,Down
2018-10-20 22:10:00,2018-10-21 00:10:00,2018-10-21 00:10:00,2018-10-20 22:10:00,1008.7528381999999,Up
2018-10-20 22:20:00,2018-10-21 00:20:00,2018-10-21 00:10:00,2018-10-20 22:20:00,722.5142212999999,Down
2018-10-20 22:30:00,2018-10-21 00:30:00,2018-10-21 00:10:00,2018-10-20 23:40:00,689.9135742999999,Down
2018-10-20 22:40:00,2018-10-21 00:40:00,2018-10-21 00:10:00,2018-10-20 23:40:00,689.9135742999999,Down
2018-10-20 22:50:00,2018-10-21 00:50:00,2018-10-21 00:10:00,2018-10-20 23:40:00,689.9135742999999,Down
2018-10-20 23:00:00,2018-10-21 01:00:00,2018-10-21 00:10:00,2018-10-20 23:40:00,689.9135742999999,Down
2018-10-20 23:10:00,2018-10-21 01:10:00,2018-10-21 00:10:00,2018-10-21 01:10:00,731.5438232999999,Down
2018-10-20 23:20:00,2018-10-21 01:20:00,2018-10-21 00:10:00,2018-10-21 01:10:00,731.5438232999999,Down
2018-10-20 23:30:00,2018-10-21 01:30:00,2018-10-21 00:10:00,2018-10-21 01:10:00,731.5438232999999,Down
2018-10-20 23:40:00,2018-10-21 01:40:00,2018-10-21 00:10:00,2018-10-21 01:10:00,731.5438232999999,Down
2018-10-20 23:50:00,2018-10-21 01:50:00,2018-10-21 00:10:00,2018-10-21 01:10:00,731.5438232999999,Down
2018-10-21 00:00:00,2018-10-21 02:00:00,2018-10-21 00:10:00,2018-10-21 01:10:00,731.5438232999999,Down
2018-10-21 00:10:00,2018-10-21 02:10:00,2018-10-21 00:10:00,2018-10-21 01:10:00,731.5438232999999,Down
2018-10-21 00:20:00,2018-10-21 02:20:00,2018-10-21 00:40:00,2018-10-21 01:10:00,682.4827882999999,Down
2018-10-21 00:30:00,2018-10-21 02:30:00,2018-10-21 00:40:00,2018-10-21 01:10:00,682.4827882999999,Down
2018-10-21 00:40:00,2018-10-21 02:40:00,2018-10-21 02:40:00,2018-10-21 01:10:00,834.4797362999999,Up
2018-10-21 00:50:00,2018-10-21 02:50:00,2018-10-21 02:40:00,2018-10-21 01:10:00,834.4797362999999,Down
2018-10-21 01:00:00,2018-10-21 03:00:00,2018-10-21 02:40:00,2018-10-21 01:10:00,834.4797362999999,Down
2018-10-21 01:10:00,2018-10-21 03:10:00,2018-10-21 02:40:00,2018-10-21 01:10:00,834.4797362999999,Down
2018-10-21 01:20:00,2018-10-21 03:20:00,2018-10-21 02:40:00,2018-10-21 01:20:00,763.2509766,Down
2018-10-21 01:30:00,2018-10-21 03:30:00,2018-10-21 02:40:00,2018-10-21 01:40:00,704.8152465999999,Down
2018-10-21 01:40:00,2018-10-21 03:40:00,2018-10-21 02:40:00,2018-10-21 03:40:00,767.3356322999999,Down
2018-10-21 01:50:00,2018-10-21 03:50:00,2018-10-21 02:40:00,2018-10-21 03:40:00,767.3356322999999,Down
2018-10-21 02:00:00,2018-10-21 04:00:00,2018-10-21 02:40:00,2018-10-21 03:40:00,767.3356322999999,Down
2018-10-21 02:10:00,2018-10-21 04:10:00,2018-10-21 02:40:00,2018-10-21 03:40:00,767.3356322999999,Down
2018-10-21 02:20:00,2018-10-21 04:20:00,2018-10-21 02:40:00,2018-10-21 03:40:00,767.3356322999999,Down
2018-10-21 02:30:00,2018-10-21 04:30:00,2018-10-21 02:40:00,2018-10-21 03:40:00,767.3356322999999,Down
2018-10-21 02:40:00,2018-10-21 04:40:00,2018-10-21 02:40:00,2018-10-21 03:40:00,767.3356322999999,Down
2018-10-21 02:50:00,2018-10-21 04:50:00,2018-10-21 02:50:00,2018-10-21 03:40:00,731.5116572999999,Down
2018-10-21 03:00:00,2018-10-21 05:00:00,2018-10-21 04:00:00,2018-10-21 03:40:00,626.2966923,Down
2018-10-21 03:10:00,2018-10-21 05:10:00,2018-10-21 04:00:00,2018-10-21 05:10:00,640.1743168,Down
2018-10-21 03:20:00,2018-10-21 05:20:00,2018-10-21 04:00:00,2018-10-21 05:20:00,714.4700322,Down
2018-10-21 03:30:00,2018-10-21 05:30:00,2018-10-21 04:00:00,2018-10-21 05:20:00,714.4700322,Down
2018-10-21 03:40:00,2018-10-21 05:40:00,2018-10-21 04:00:00,2018-10-21 05:20:00,714.4700322,Down
2018-10-21 03:50:00,2018-10-21 05:50:00,2018-10-21 04:00:00,2018-10-21 05:50:00,785.0285038000001,Down
2018-10-21 04:00:00,2018-10-21 06:00:00,2018-10-21 04:00:00,2018-10-21 05:50:00,785.0285038000001,Down
2018-10-21 04:10:00,2018-10-21 06:10:00,2018-10-21 04:30:00,2018-10-21 06:10:00,917.0668335,Down
2018-10-21 04:20:00,2018-10-21 06:20:00,2018-10-21 04:30:00,2018-10-21 06:10:00,917.0668335,Down
2018-10-21 04:30:00,2018-10-21 06:30:00,2018-10-21 04:30:00,2018-10-21 06:10:00,917.0668335,Down
2018-10-21 04:40:00,2018-10-21 06:40:00,2018-10-21 04:50:00,2018-10-21 06:10:00,608.7871093,Down
2018-10-21 04:50:00,2018-10-21 06:50:00,2018-10-21 04:50:00,2018-10-21 06:10:00,608.7871093,Down
2018-10-21 05:00:00,2018-10-21 07:00:00,2018-10-21 05:00:00,2018-10-21 06:10:00,578.6403198,Down
2018-10-21 05:10:00,2018-10-21 07:10:00,2018-10-21 06:40:00,2018-10-21 07:10:00,441.4508972,Down
2018-10-21 05:20:00,2018-10-21 07:20:00,2018-10-21 06:40:00,2018-10-21 07:20:00,529.9588013,Down
2018-10-21 05:30:00,2018-10-21 07:30:00,2018-10-21 06:40:00,2018-10-21 07:30:00,591.2640991,Down
2018-10-21 05:40:00,2018-10-21 07:40:00,2018-10-21 06:40:00,2018-10-21 07:30:00,591.2640991,Down
2018-10-21 05:50:00,2018-10-21 07:50:00,2018-10-21 06:40:00,2018-10-21 07:30:00,591.2640991,Down
2018-10-21 06:00:00,2018-10-21 08:00:00,2018-10-21 06:40:00,2018-10-21 07:30:00,591.2640991,Down
2018-10-21 06:10:00,2018-10-21 08:10:00,2018-10-21 06:40:00,2018-10-21 07:30:00,591.2640991,Down
2018-10-21 06:20:00,2018-10-21 08:20:00,2018-10-21 06:40:00,2018-10-21 07:30:00,591.2640991,Down
2018-10-21 06:30:00,2018-10-21 08:30:00,2018-10-21 06:40:00,2018-10-21 07:30:00,591.2640991,Down
